Scenario,Train_Season,Test_Season,N,R2,RMSE,MAE,Bias,R2_drop_vs_target_native,Fail_by_threshold
RF-Summer->Summer (in-season),Summer,Summer,59064,0.3444572862361822,8.00945243223117,4.166356314719011,1.2820733591299815,,False
RF-Spring->Spring (in-season),Spring,Spring,59064,0.327388765677886,8.474931822059595,5.167411542876092,0.6031084872571311,,False
RF-Summer->Spring (forward-transfer),Summer,Spring,59064,0.14720103425849507,9.542836592053781,4.996876573223542,-3.5286291496573026,0.18018773141939093,True
RF-Spring->Summer (reverse-transfer),Spring,Summer,59064,-0.42898474249413554,11.825407764486375,7.080155573360405,4.90647396239612,0.7734420287303178,True
