lat,lon,dem,imerg,obs,cluster_id,cluster_name
24.75,111.4,339.08519351702904,6.670000076293945,10.628072738647461,3,SW
24.75,111.9,830.2920038083889,5.510000228881836,16.856361389160156,3,SW
25.0,110.9,1027.8781277223757,17.985000610351562,11.162824630737305,3,SW
25.0,111.4,296.14560915859465,8.140000343322754,11.298080444335938,3,SW
25.0,111.65,693.5227698639616,7.010000228881836,17.727760314941406,3,SW
25.0,111.9,866.874020986138,5.455000877380371,17.25051498413086,3,SW
25.0,112.65,731.4766360625829,3.6750001907348633,15.269758224487305,3,SW
25.0,112.9,1012.7689418212404,7.270000457763672,7.859394073486328,3,SW
25.25,111.15,269.61820324158185,7.049999713897705,10.410077095031738,3,SW
25.25,111.4,350.3866242296385,9.135000228881836,18.00791358947754,3,SW
25.25,111.65,525.0732743216431,4.190000057220459,18.646085739135742,3,SW
25.25,111.9,1611.7150421403499,12.160001754760742,14.933162689208984,3,SW
25.25,112.15,690.1601837935145,22.389997482299805,15.437707901000977,3,SW
25.25,112.4,436.6638253647529,4.314999580383301,14.850333213806152,3,SW
25.25,112.65,309.1599649100014,5.544999599456787,13.247368812561035,3,SW
25.25,112.9,176.70339675858122,9.864998817443848,7.287103652954102,3,SW
25.5,111.4,221.15558436069827,25.189998626708984,15.850341796875,2,Central
25.5,111.65,234.49781888024907,15.389999389648438,17.626022338867188,3,SW
25.5,111.9,291.079361671125,5.579999923706055,13.646896362304688,3,SW
25.5,112.15,323.7033967586172,28.484996795654297,15.897954940795898,2,Central
25.5,112.4,351.0206345193764,50.33500671386719,13.1755952835083,2,Central
25.5,112.65,1018.1148080184624,13.059999465942383,11.103922843933105,3,SW
25.5,112.9,276.27597787698545,44.269996643066406,4.984841346740723,2,Central
25.5,113.15,539.4728221215435,13.889999389648438,5.19825553894043,3,SW
25.5,113.4,701.8046345173598,22.979997634887695,19.422815322875977,3,SW
25.5,113.65,796.2114005694385,14.334999084472656,21.685546875,3,SW
25.75,111.4,763.677404780061,6.364999771118164,8.253829956054688,3,SW
25.75,111.65,624.9060545384541,4.234999656677246,12.630559921264648,3,SW
25.75,111.9,315.7681746393801,13.459999084472656,12.514266967773438,3,SW
25.75,112.15,280.93857082854174,40.88999938964844,12.359779357910156,2,Central
25.75,112.4,158.29660324138277,36.659996032714844,12.428874015808105,2,Central
25.75,112.65,306.8500102922328,30.209999084472656,4.542138576507568,3,SW
25.75,112.9,209.92960915627978,30.124998092651367,4.947624683380127,3,SW
25.75,113.15,1370.8829735026468,26.85999870300293,19.522701263427734,2,Central
25.75,113.4,582.3096899593864,17.395000457763672,23.038009643554688,3,SW
25.75,113.65,449.76964424608053,16.16499900817871,24.062192916870117,3,SW
26.0,109.4,558.5417525144309,1.9649999141693115,3.980442523956299,0,NW
26.0,109.65,640.101456641452,3.375,4.76133918762207,0,NW
26.0,110.15,530.5492820038771,22.110000610351562,4.695484161376953,0,NW
26.0,111.15,211.62256548104543,1.5750000476837158,6.5151214599609375,3,SW
26.0,111.4,746.809735802508,5.744999408721924,6.913520812988281,3,SW
26.0,111.65,321.0541460294436,3.0149998664855957,6.072482585906982,3,SW
26.0,111.9,698.5888167776184,8.484999656677246,7.00060510635376,3,SW
26.0,112.15,356.12767665866454,19.834999084472656,10.370162010192871,3,SW
26.0,112.4,364.83399351572507,35.505001068115234,5.240206718444824,3,SW
26.0,112.65,257.96044691639025,43.855003356933594,3.879237174987793,2,Central
26.0,112.9,157.3873914113316,41.37999725341797,3.932405471801758,2,Central
26.0,113.15,125.0,41.67500305175781,21.92192840576172,2,Central
26.0,113.4,360.9293811181493,48.88500213623047,24.793554306030273,2,Central
26.0,113.65,889.0250059139115,45.83000183105469,31.223060607910156,2,Central
26.0,113.9,1261.2072663682322,39.18999481201172,36.23662567138672,2,Central
26.25,109.4,624.4669902758069,1.5399999618530273,4.246328353881836,0,NW
26.25,109.65,350.0102032406129,7.274999618530273,4.392501354217529,0,NW
26.25,109.9,1562.0296053471823,1.309999942779541,4.475101947784424,0,NW
26.25,110.15,540.7196690382364,2.734999895095825,5.238759994506836,0,NW
26.25,110.4,1007.8558421371138,7.364999771118164,4.25385856628418,0,NW
26.25,110.65,514.6830177434915,7.005000114440918,1.4334206581115723,0,NW
26.25,111.15,132.30704367530726,0.0,2.08076810836792,3,SW
26.25,111.4,138.19078436022895,0.7249999642372131,3.4194915294647217,3,SW
26.25,111.65,165.59757787749373,1.1099998950958252,2.6957015991210938,3,SW
26.25,111.9,319.9249914130212,5.340000152587891,4.77982759475708,3,SW
26.25,112.15,259.6635881711964,7.284998893737793,4.407814025878906,3,SW
26.25,112.4,306.33179408559823,29.55999755859375,3.6160197257995605,3,SW
26.25,112.65,309.6385914126064,28.014995574951172,2.5780467987060547,3,SW
26.25,112.9,145.5873746366415,28.05500030517578,1.6518549919128418,3,SW
26.25,113.15,219.23033744376707,39.874996185302734,20.34469985961914,2,Central
26.25,113.4,547.5125940879683,42.25999450683594,26.17154312133789,2,Central
26.25,113.65,645.411611832506,40.0,33.75189208984375,2,Central
26.25,113.9,1478.5725902737634,55.82499694824219,37.23283004760742,2,Central
26.5,109.4,571.6271740697563,6.330000400543213,1.9585833549499512,0,NW
26.5,109.65,929.1759908420571,7.255000114440918,2.4508697986602783,0,NW
26.5,109.9,435.657537442678,3.3499999046325684,4.475335597991943,0,NW
26.5,110.15,467.56821887914396,2.5799999237060547,2.3073370456695557,0,NW
26.5,110.4,1041.0420362198001,5.814999580383301,1.512502670288086,0,NW
26.5,110.65,473.61819408612183,6.1349992752075195,1.3950004577636719,0,NW
26.5,110.9,631.9897876040092,2.875,1.3202338218688965,0,NW
26.5,111.15,480.79901239907116,0.0,2.05027437210083,3,SW
26.5,111.4,138.64320000034354,0.0,1.8844847679138184,3,SW
26.5,111.65,120.2818005679452,0.17000000178813934,2.2815723419189453,3,SW
26.5,111.9,286.5669773107703,0.0,4.482828140258789,3,SW
26.5,112.15,85.9543687218502,0.6549999713897705,4.710209846496582,3,SW
26.5,112.4,100.25120915648111,8.875,4.516988754272461,3,SW
26.5,112.65,91.49782803557746,14.599998474121094,2.0432968139648438,3,SW
26.5,112.9,123.03082860494615,15.194999694824219,0.3270411491394043,3,SW
26.5,113.15,172.28640000068708,19.39499855041504,4.782138824462891,3,SW
26.5,113.4,210.23616928996765,26.94000244140625,23.060176849365234,2,Central
26.5,113.65,474.8686635260097,30.140003204345703,31.335826873779297,2,Central
26.5,113.9,512.0266760933262,40.715003967285156,36.901222229003906,2,Central
26.75,109.4,478.9502253645867,14.899999618530273,2.3800950050354004,0,NW
26.75,109.65,472.3376442418768,15.470000267028809,2.33986759185791,0,NW
26.75,109.9,318.6385914119682,8.609999656677246,1.8410272598266602,0,NW
26.75,110.15,670.1099622382123,3.934999942779541,1.9915547370910645,0,NW
26.75,110.4,547.3876194486936,2.759999990463257,1.683485507965088,0,NW
26.75,110.65,338.2160000015898,2.190000057220459,1.3058409690856934,0,NW
26.75,110.9,412.9897967593043,1.4549999237060547,1.3050127029418945,0,NW
26.75,111.15,489.1970631265485,0.42500001192092896,2.006074905395508,3,SW
26.75,111.4,335.0650150734989,0.7150000333786011,3.308223009109497,3,SW
26.75,111.65,146.4771935163109,3.190000057220459,2.945096492767334,3,SW
26.75,111.9,155.29660324136762,3.0400004386901855,4.023742198944092,3,SW
26.75,112.15,139.83297082978072,2.239999771118164,4.673969745635986,3,SW
26.75,112.4,128.522587601204,3.8899998664855957,1.4538259506225586,3,SW
26.75,112.65,60.0,11.629998207092285,1.7793550491333008,1,NE
26.75,112.9,127.48154660020948,20.940000534057617,1.2379636764526367,3,SW
26.75,113.15,98.29660324141877,26.56500244140625,4.730731964111328,1,NE
26.75,113.4,160.79879351636757,23.52499771118164,11.750548362731934,3,SW
26.75,113.65,633.4281860639663,23.69499969482422,12.506792068481445,3,SW
27.0,109.65,526.2614215527275,5.1399993896484375,2.185746669769287,0,NW
27.0,109.9,185.36698492945447,2.6700000762939453,2.2110977172851562,0,NW
27.0,110.15,876.3111778771498,2.134999990463257,2.1568312644958496,0,NW
27.0,110.4,471.9781239126106,0.6000000238418579,1.9535350799560547,0,NW
27.0,110.65,300.356553650974,1.0799999237060547,1.8406343460083008,0,NW
27.0,110.9,360.2160183124231,2.669999837875366,2.1566667556762695,0,NW
27.0,111.15,227.46699027559654,1.6449999809265137,1.7708301544189453,3,SW
27.0,111.4,261.2364156384483,0.14999999105930328,3.7058300971984863,3,SW
27.0,111.65,266.9351946535934,1.0099999904632568,4.969912052154541,3,SW
27.0,111.9,318.20679198076584,3.3899998664855957,4.817417144775391,3,SW
27.0,112.15,106.59927552192065,3.5,4.313806533813477,1,NE
27.0,112.4,82.95000648246496,3.6949996948242188,2.1895570755004883,1,NE
27.0,112.65,56.18058111949702,6.324999809265137,0.9331088066101074,1,NE
27.0,112.9,156.9943870362789,10.444998741149902,1.1061882972717285,1,NE
27.0,113.15,88.8793692902921,18.344999313354492,0.0,1,NE
27.0,113.4,426.28661888305817,27.044998168945312,5.0938215255737305,3,SW
27.0,113.65,175.35679999969938,23.020002365112305,10.217412948608398,1,NE
27.25,108.9,617.0420270637975,0.7849999666213989,1.5744924545288086,0,NW
27.25,109.15,745.8806108576172,1.0600000619888306,1.7600741386413574,0,NW
27.25,109.4,450.1953746379021,1.034999966621399,2.194066047668457,0,NW
27.25,109.65,275.33057082815196,1.6400001049041748,2.0608811378479004,0,NW
27.25,109.9,530.1420049444661,2.2699999809265137,1.0403904914855957,0,NW
27.25,110.15,807.869403242486,3.135000228881836,2.750621795654297,0,NW
27.25,110.4,841.6349315964825,4.779999732971191,2.8381314277648926,0,NW
27.25,110.65,381.3422436748421,3.7649998664855957,4.223647594451904,0,NW
27.25,110.9,445.0293589983993,3.8899998664855957,3.291318893432617,0,NW
