date,year,month,day,rf_bias_daily,imerg_bias_daily,n_samples_rf,n_samples_imerg
2021-06-01,2021,6,1,1.657227082119924,3.701577013433908,321,321
2021-06-02,2021,6,2,1.9404413069423492,2.413187893626869,321,321
2021-06-03,2021,6,3,-10.28789676864422,2.6724137168064295,321,321
2021-06-04,2021,6,4,0.30721031348690436,-1.731868962496171,321,321
2021-06-05,2021,6,5,0.48079425531700026,0.03336557737519715,321,321
2021-06-06,2021,6,6,0.285553676496785,-0.11982630536459224,321,321
2021-06-07,2021,6,7,0.8661194358724301,0.80796367937345,321,321
2021-06-08,2021,6,8,0.6963442458582816,0.42856416474691245,321,321
2021-06-09,2021,6,9,1.2167552297651953,9.828876673339684,321,321
2021-06-10,2021,6,10,1.6642361830394963,12.713020780933238,321,321
2021-06-11,2021,6,11,6.016966438916985,3.172961394212606,321,321
2021-06-12,2021,6,12,4.589288040187686,0.5511425550812362,321,321
2021-06-13,2021,6,13,1.7279092390747086,-0.2049093670429331,321,321
2021-06-14,2021,6,14,0.015136284045712536,-0.9420158416090817,321,321
2021-06-15,2021,6,15,-0.37417647116355063,-1.2671881576657666,321,321
2021-06-16,2021,6,16,0.05696189599987881,-1.2373101502320385,321,321
2021-06-17,2021,6,17,1.5412115652620606,0.2428603407482956,321,321
2021-06-18,2021,6,18,2.8599917252552096,-0.6092491688850884,321,321
2021-06-19,2021,6,19,4.185798373854605,0.415638308098824,321,321
2021-06-20,2021,6,20,2.500257204872054,2.3785257855737787,321,321
2021-06-21,2021,6,21,-1.6482555513528647,-5.345438380090293,321,321
2021-06-22,2021,6,22,0.9334872987782845,-0.775013357418302,321,321
2021-06-23,2021,6,23,0.6985157799460806,-0.3292328553808116,321,321
2021-06-24,2021,6,24,0.7601720606667973,-0.298118634468577,321,321
2021-06-25,2021,6,25,0.9709431587580208,-0.9253226158577612,321,321
2021-06-26,2021,6,26,2.185636726324617,0.22802878481936512,321,321
2021-06-27,2021,6,27,7.20023560183442,15.660789564278012,321,321
2021-06-28,2021,6,28,2.8503171748331404,-0.8866729076191597,321,321
2021-06-29,2021,6,29,5.567524077515736,4.814392033825133,321,321
2021-06-30,2021,6,30,3.2418511000219907,4.340423746202779,321,321
2021-07-01,2021,7,1,-0.6068998359536454,0.3325685735826737,321,321
2021-07-02,2021,7,2,3.214625980677263,-1.6301375079401,321,321
2021-07-03,2021,7,3,4.418234760177656,-1.0150582637997616,321,321
2021-07-04,2021,7,4,6.185879951427658,-3.9825418462158644,321,321
2021-07-05,2021,7,5,2.4432317573043787,0.13040766694127492,321,321
2021-07-06,2021,7,6,-0.2664070423826622,-2.128280549687319,321,321
2021-07-07,2021,7,7,0.5452118131958437,0.4443229419669583,321,321
2021-07-08,2021,7,8,1.030275186138361,-0.26314636385445467,321,321
2021-07-09,2021,7,9,2.4907367059434313,1.3415964127016309,321,321
2021-07-10,2021,7,10,0.6444979682804267,0.08765890842123752,321,321
2021-07-11,2021,7,11,0.5137693157264749,0.13602855835237607,321,321
2021-07-12,2021,7,12,0.9578244356481456,0.8515097208297884,321,321
2021-07-13,2021,7,13,1.1555633797812686,0.1433631055132483,321,321
2021-07-14,2021,7,14,0.5537803999289546,-0.053513021147418245,321,321
2021-07-15,2021,7,15,0.3768740712742196,-0.20661860649877248,321,321
2021-07-16,2021,7,16,0.745974040549492,4.283091343509909,321,321
2021-07-17,2021,7,17,1.2634033283277464,1.1631763059866391,321,321
2021-07-18,2021,7,18,-2.2742230059231554,-0.8523000136011997,321,321
2021-07-19,2021,7,19,1.9537868428412255,-0.16468572000047407,321,321
2021-07-20,2021,7,20,4.147360681430572,0.28040986152719766,321,321
2021-07-21,2021,7,21,4.0226602560036655,-0.7628955325529536,321,321
2021-07-22,2021,7,22,2.984206846462418,-0.02861275890337251,321,321
2021-07-23,2021,7,23,1.0463106552607546,0.3469650083688607,321,321
2021-07-24,2021,7,24,2.3122046566599996,0.4444699903218963,321,321
2021-07-25,2021,7,25,1.2439928101698556,-0.9460151023449046,321,321
2021-07-26,2021,7,26,1.341320407713685,-0.17832009518385583,321,321
2021-07-27,2021,7,27,1.8928129498356971,-0.4506607906620172,321,321
2021-07-28,2021,7,28,1.921535731778338,0.660370929720826,321,321
2021-07-29,2021,7,29,0.6804670752246061,-0.31065710656043155,321,321
2021-07-30,2021,7,30,-0.7192253577534654,-1.9194282070295507,321,321
2021-07-31,2021,7,31,-0.0933198173421195,-0.5558872425673396,321,321
2021-08-01,2021,8,1,0.09779649091621054,-0.5331121616680581,321,321
2021-08-02,2021,8,2,0.24377012282238567,-0.44257219671054143,321,321
2021-08-03,2021,8,3,0.6150362870032171,-0.053946450033523954,321,321
2021-08-04,2021,8,4,3.3911906674903505,3.7877806473778692,321,321
2021-08-05,2021,8,5,0.8513892151232448,-5.754849769662473,321,321
2021-08-06,2021,8,6,4.864114487955503,-1.7926337192316664,321,321
2021-08-07,2021,8,7,2.289501102527168,-1.336315159366765,321,321
2021-08-08,2021,8,8,7.795542800290191,2.4202130499043477,321,321
2021-08-09,2021,8,9,9.395500315683282,12.903523336109528,321,321
2021-08-10,2021,8,10,6.3370148125326144,-0.22341657556430944,321,321
2021-08-11,2021,8,11,7.982618073588777,-3.0160987247826063,321,321
2021-08-12,2021,8,12,11.318608703641505,8.36672708708967,321,321
2021-08-13,2021,8,13,2.647138571337005,1.206228016617467,321,321
2021-08-14,2021,8,14,-0.4259754684183086,-8.066431417147342,321,321
2021-08-15,2021,8,15,6.255527816893899,-1.4556310156395085,321,321
2021-08-16,2021,8,16,6.596264934063143,1.7345928245650553,321,321
2021-08-17,2021,8,17,5.470862475484517,4.135107424533766,321,321
2021-08-18,2021,8,18,1.1227774253840386,-2.551404600777312,321,321
2021-08-19,2021,8,19,0.7552533680618366,-0.9189920423616222,321,321
2021-08-20,2021,8,20,3.2152794963006293,5.269852868797739,321,321
2021-08-21,2021,8,21,-0.8285551091982198,-3.307756006128715,321,321
2021-08-22,2021,8,22,1.1580806044704073,0.12464869937444588,321,321
2021-08-23,2021,8,23,5.219324948837824,23.96458622004918,321,321
2021-08-24,2021,8,24,-9.778306521894777,-12.666161176406218,321,321
2021-08-25,2021,8,25,-1.4980716005571162,-2.1008579823452505,321,321
2021-08-26,2021,8,26,1.5436800700225561,-0.37910597734559454,321,321
