source,guangdong,guangxi,hunan
guangdong,25.02898967986337,26.812285629611367,20.81399732335648
guangxi,18.969275733478963,36.469844500640605,23.822399617712364
hunan,16.930088608496817,28.242382865700332,26.535123267445115
