region,subregion,morans_i,morans_i_se,obs_variance,n_days,n_cells,retrained_eff,retrained_ci_lo,retrained_ci_hi,hunan_transfer_eff,transfer_ci_lo,transfer_ci_hi
hunan,west,0.6888556923780607,0.013066909652799002,135.2975311279297,184,80,30.09149351305942,19.671151263855613,41.690558505184015,,,
hunan,north,0.6855300872583733,0.011593362543819397,93.88077545166016,184,103,26.152355191720535,14.68121196702326,36.66812454283613,,,
hunan,south,0.6202903899744661,0.014032928290915273,88.65226745605469,184,88,26.577134127317812,15.11495765300191,38.50498323593106,,,
hunan,central,0.5550503400732987,0.014129651310461691,60.47970199584961,184,50,16.204589785719104,5.747468232746045,25.922459780342088,,,
guangxi,gx_karst_nw,0.7874685723872115,0.011659840979808414,106.09019470214844,183,137,37.940433741771585,31.349598386663004,43.220975984719296,32.91776529966586,26.83100973178074,37.706521184826144
guangxi,gx_se_hills,0.7729010233359404,0.010148242740392862,144.0393829345703,183,192,35.56062057593887,26.860281952017587,42.936678333593086,25.447340375206917,20.133294325628228,29.870323963617
guangdong,gd_coastal,0.6639433144999539,0.014212235018012309,259.0467834472656,182,57,22.920007802543797,13.48716483029403,31.746146026080975,16.526529400414557,5.04712538183394,27.469710143889955
guangdong,gd_inland_hills,0.7066365931959221,0.011748499107227016,171.20034790039062,183,100,23.234255940267268,15.27221691721922,29.795162451002362,14.293568846190485,5.652982955080409,24.194500420394498
guangdong,gd_north_mtn,0.682848986621711,0.013274353423116815,202.74356079101562,182,86,29.140752279108927,12.85263412202326,42.0518194988141,20.318331451178295,0.7930844158053411,35.59789480875014
