Model,R2,RMSE,MAE,Bias
Raw IMERG,-0.21462295963778688,10.902424108583439,4.815699741386623,0.47833820642415203
IMERG,0.0664849797978243,9.5579110440854,4.92468811826005,0.6716557792325962
IMERG+DEM,0.12773578012598696,9.23902959409916,4.970581681434922,0.9262932089324817
IMERG+ERA5,0.29052432610375367,8.332418677713038,4.359279207736667,1.2309371547472583
LR-Full (retrained),0.34351984459359186,8.01517723986675,4.8180632330085995,0.45357132942350153
RF-Full,0.3444572862361822,8.00945243223117,4.166356314719011,1.2820733591299815
