feature,n_low_0_20pct,n_high_80_100pct,y_q20_mm_d,y_q80_mm_d,sigma_low,sigma_high,sigma_gap_high_minus_low,ci95_low,ci95_high,bootstrap_p_two_sided_h0_gap0,significant_at_0_05
dem,12074,11813,0.0,6.731379127502443,0.8707941938590086,3.5930444603145864,2.722250266455578,2.6558982859048186,2.793723020263277,0.0,True
imerg,12074,11813,0.0,6.731379127502443,2.6042927342456466,7.679421173278347,5.0751284390327,4.899119956496923,5.2422472656605645,0.0,True
tcwv,12074,11813,0.0,6.731379127502443,1.8127638685005407,6.224555884347024,4.411792015846483,4.299530604154987,4.51918251740319,0.0,True
v10,12074,11813,0.0,6.731379127502443,1.3073320929200622,3.2002544258164356,1.8929223328963733,1.8071161971760024,1.9695411386933115,0.0,True
