perplexity,N_total,N_heavy,N_non_heavy,silhouette_heavy_vs_nonheavy,centroid_separation_ratio,nearest_neighbor_purity_k10
5,822,522,300,0.12435071915388107,0.40842456681455364,0.8628352490421456
10,822,522,300,0.11482567340135574,0.37566102760674486,0.8691570881226054
30,822,522,300,0.19428615272045135,0.5256574588241706,0.8750957854406131
50,822,522,300,0.1684698462486267,0.5018638676487164,0.8768199233716475
100,822,522,300,0.21688593924045563,0.5760284075385297,0.8687739463601533
