K,silhouette,calinski_harabasz,davies_bouldin,inertia,rank_sil,rank_ch,rank_db,rank_sum,is_K4
2,0.4467134368901402,15500.905483240846,1.3437108646675913,233925.93108528721,1.0,7.0,7.0,15.0,False
3,0.28208005266373387,19013.17311674453,1.3258071201568316,179651.58302147145,3.0,2.0,6.0,11.0,False
4,0.2782865072194755,19681.615763410166,1.1450806809539373,147678.96730177404,5.0,1.0,2.0,8.0,True
5,0.27794376282865696,18312.493562529155,1.0875243397044454,131822.5316915138,6.0,3.0,1.0,10.0,False
6,0.28571591719173883,17606.53489266788,1.2021376553655847,118573.1984397423,2.0,4.0,3.0,9.0,False
7,0.2684270236797515,16903.973636854244,1.306512345720222,108677.92686929149,7.0,5.0,5.0,17.0,False
8,0.28190210065831417,16200.15125695497,1.2060206142938437,101129.40162084157,4.0,6.0,4.0,14.0,False
